Año,Queja,Fecha de recepción,Concepto de archivo,Autoridad presunta responsable,Tipo de Autoridad,Supuesta violación,Municipio o población
2013,7018,9/19/2013,Se emitió recomendación,Procuraduría General de Justicia del Estado,Procuraduría General de Justicia del Estado,Violación,Tonalá
2013,7018,9/19/2013,Se emitió recomendación,Dirección General de Seguridad Pública del Estado,Dirección General de Seguridad Pública del Estado,Incumplimiento de la función pública en la procuración de justicia,Tonalá
2013,7018,9/19/2013,Se emitió recomendación,Procuraduría General de Justicia del Estado,Procuraduría General de Justicia del Estado,Incumplimiento de la función pública en la procuración de justicia,Tonalá
2013,7070,9/25/2013,Enviada a la CNDH,Secretaría de la Defensa Nacional,Secretaría de la Defensa Nacional,Abuso sexual,Jalostotitlán
2013,7070,9/25/2013,Enviada a la CNDH,Secretaría de la Defensa Nacional,Secretaría de la Defensa Nacional,Violación al derecho a la legalidad y seguridad jurídica,Jalostotitlán
2013,7070,9/25/2013,Enviada a la CNDH,Secretaría de la Defensa Nacional,Secretaría de la Defensa Nacional,Violación,Jalostotitlán
2013,7887,10/14/2013,Desistimiento,Unidad de Protección Civil y Bomberos del Estado,Unidad de Protección Civil y Bomberos del Estado,Ejercicio indebido de la función pública,Guadalajara
2013,7887,10/14/2013,Desistimiento,Unidad de Protección Civil y Bomberos del Estado,Unidad de Protección Civil y Bomberos del Estado,Hostigamiento sexual,Guadalajara
2013,7887,10/14/2013,Desistimiento,Unidad de Protección Civil y Bomberos del Estado,Unidad de Protección Civil y Bomberos del Estado,Discriminación por género,Guadalajara
2013,8862,11/27/2013,Se emitió recomendación,"Secretaría de Seguridad Pública, Prevención y Readaptación Social","Secretaría de Seguridad Pública, Prevención y Readaptación Social",Violación a los derechos laborales,Puente Grande
2013,8862,11/27/2013,Se emitió recomendación,"Secretaría de Seguridad Pública, Prevención y Readaptación Social","Secretaría de Seguridad Pública, Prevención y Readaptación Social",Hostigamiento sexual,Puente Grande
2014,209,1/6/2014,Por no tratarse de violación de D. H.,Dirección de Seguridad Pública de San Diego de Alejandría,Dirección de Seguridad Municipal,Abuso sexual,San Diego De Alejandría
2014,209,1/6/2014,Por no tratarse de violación de D. H.,Dirección de Seguridad Pública de San Diego de Alejandría,Dirección de Seguridad Municipal,Ataque a la propiedad privada,San Diego De Alejandría
2014,246,1/10/2014,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Incumplimiento de la función pública en la procuración de justicia,Ocotlán
2014,246,1/10/2014,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Ocotlán
2014,246,1/10/2014,Conciliación,Procuraduría General de Justicia del Estado,Procuraduría General de Justicia del Estado,Negativa de asistencia a víctimas de delito,Ocotlán
2014,246,1/10/2014,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Negativa de asistencia a víctimas de delito,Ocotlán
