Año,Queja,Fecha de recepción,Concepto de archivo,Autoridad presunta responsable,Tipo de Autoridad,Supuesta violación,Municipio o población
2016,10921,7/6/2016,Se emitió recomendación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Lagos De Moreno
2016,10921,7/6/2016,Se emitió recomendación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Intimidación,Lagos De Moreno
2016,10921,7/6/2016,Se emitió recomendación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación al derecho a la igualdad y al trato digno,Lagos De Moreno
2016,11206,7/7/2016,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Mezquitic
2016,11206,7/7/2016,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación al derecho a la igualdad y al trato digno,Mezquitic
2016,11206,7/7/2016,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Abuso sexual,Mezquitic
2016,11207,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación al derecho a la igualdad y al trato digno,Mezquitic
2016,11207,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Abuso sexual,Mezquitic
2016,11207,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Mezquitic
2016,11208,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Abuso sexual,Mezquitic
2016,11208,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Mezquitic
2016,11208,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación al derecho a la igualdad y al trato digno,Mezquitic
2016,11209,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Abuso sexual,Mezquitic
2016,11209,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Mezquitic
2016,11209,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación al derecho a la igualdad y al trato digno,Mezquitic
2016,11210,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación al derecho a la igualdad y al trato digno,Mezquitic
2016,11210,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Abuso sexual,Mezquitic
2016,11210,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Mezquitic
2016,11211,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación al derecho a la igualdad y al trato digno,Mezquitic
2016,11211,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Abuso sexual,Mezquitic
2016,11211,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Mezquitic
2016,11212,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación al derecho a la igualdad y al trato digno,Mezquitic
2016,11212,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Abuso sexual,Mezquitic
2016,11212,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Mezquitic
2016,11213,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación al derecho a la igualdad y al trato digno,Mezquitic
2016,11213,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Abuso sexual,Mezquitic
2016,11213,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Mezquitic
2016,11214,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Mezquitic
2016,11214,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Abuso sexual,Mezquitic
2016,11214,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación al derecho a la igualdad y al trato digno,Mezquitic
2016,11215,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación al derecho a la igualdad y al trato digno,Mezquitic
2016,11215,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Mezquitic
2016,11215,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Abuso sexual,Mezquitic
2016,11216,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Abuso sexual,Mezquitic
2016,11216,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación al derecho a la igualdad y al trato digno,Mezquitic
2016,11216,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Mezquitic
2016,11217,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación al derecho a la igualdad y al trato digno,Mezquitic
2016,11217,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Abuso sexual,Mezquitic
2016,11217,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Mezquitic
2016,11218,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Mezquitic
2016,11218,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Abuso sexual,Mezquitic
2016,11218,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación al derecho a la igualdad y al trato digno,Mezquitic
2016,11219,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Mezquitic
2016,11219,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Abuso sexual,Mezquitic
2016,11219,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación al derecho a la igualdad y al trato digno,Mezquitic
2016,11220,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Mezquitic
2016,11220,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación al derecho a la igualdad y al trato digno,Mezquitic
2016,11220,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Abuso sexual,Mezquitic
2016,11221,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Abuso sexual,Mezquitic
2016,11221,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación al derecho a la igualdad y al trato digno,Mezquitic
2016,11221,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Mezquitic
2016,11222,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Mezquitic
2016,11222,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Abuso sexual,Mezquitic
2016,11222,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación al derecho a la igualdad y al trato digno,Mezquitic
2016,11223,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Abuso sexual,Mezquitic
2016,11223,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación al derecho a la igualdad y al trato digno,Mezquitic
2016,11223,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Mezquitic
2016,11224,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Abuso sexual,Mezquitic
2016,11224,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación al derecho a la igualdad y al trato digno,Mezquitic
2016,11224,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Mezquitic
2016,11225,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación al derecho a la igualdad y al trato digno,Mezquitic
2016,11225,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Abuso sexual,Mezquitic
2016,11225,7/7/2016,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Mezquitic
2016,11647,8/20/2016,Conciliación,Secretaría de Salud,Secretaría de Salud,Hostigamiento sexual,Zapopan
2016,11647,8/20/2016,Conciliación,Secretaría de Salud,Secretaría de Salud,Violación a los derechos laborales,Zapopan
2016,12116,10/4/2016,Desistimiento,Fuerza Única Regional,Fuerza Única Regional,Violación al derecho a la igualdad y al trato digno,La Barca
2016,12116,10/4/2016,Desistimiento,Fuerza Única Regional,Fuerza Única Regional,Abuso sexual,La Barca
2016,12116,10/4/2016,Desistimiento,Fuerza Única Regional,Fuerza Única Regional,Violación a los derechos del niño,La Barca
2016,12324,10/18/2016,Se emitió recomendación,Fiscalía General,Fiscalía General,Violación,Atotonilco El Alto
2016,12347,10/20/2016,Conciliación,"Dirección General de Seguridad Pública, Protección Civil y Bomberos de Zapopan",Direcciónde Seguridad Municipal,Violación a los derechos laborales,Zapopan
2016,12347,10/20/2016,Conciliación,"Dirección General de Seguridad Pública, Protección Civil y Bomberos de Zapopan",Direcciónde Seguridad Municipal,Hostigamiento sexual,Zapopan
2016,12606,11/22/2016,Se emitió recomendación,Servicios Médicos Municipales de Guadalajara,Servicios Médicos Municipales,Hostigamiento sexual,Guadalajara
2016,12606,11/22/2016,Se emitió recomendación,Servicios Médicos Municipales de Guadalajara,Servicios Médicos Municipales,Violación a los derechos laborales,Guadalajara
2017,429,2/10/2017,Conciliación,Centro Estatal de Justicia para las Mujeres,Centro Estatal de Justicia para las Mujeres,Hostigamiento sexual,Guadalajara
2017,1000,3/23/2017,Se emitió recomendación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos laborales,Zapotlanejo
2017,1000,3/23/2017,Se emitió recomendación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Zapotlanejo
2017,2663,4/19/2017,Archivo definitivo,Dirección de Seguridad Pública de Tepatitlán de Morelos,Dirección de Seguridad Municipal,Hostigamiento sexual,Tepatitlán De Morelos
2017,3597,5/12/2017,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos laborales,Etzatlán
2017,3597,5/12/2017,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Etzatlán
2017,3640,5/19/2017,Archivo definitivo,Fuerza Única Metropolitana,Fuerza Única Metropolitana,Cateos y visitas domiciliarias ilegales,Zapopan
2017,3640,5/19/2017,Archivo definitivo,Fuerza Única Metropolitana,Fuerza Única Metropolitana,Robo,Zapopan
2017,3640,5/19/2017,Archivo definitivo,Fuerza Única Metropolitana,Fuerza Única Metropolitana,Abuso sexual,Zapopan
2017,3640,5/19/2017,Archivo definitivo,Fuerza Única Metropolitana,Fuerza Única Metropolitana,Allanamiento de morada,Zapopan
2017,3861,6/21/2017,Se emitió recomendación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Abuso sexual,Guadalajara
2017,3861,6/21/2017,Se emitió recomendación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Guadalajara
2017,5610,7/28/2017,Desistimiento,Ayuntamiento de Guadalajara,Ayuntamiento,Abuso sexual,Guadalajara
2017,5610,7/28/2017,Desistimiento,Ayuntamiento de Guadalajara,Ayuntamiento,Lesiones,Guadalajara
2017,6976,8/24/2017,Conciliación,Colegio de Bachilleres del Estado de Jalisco,Colegio de Bachilleres del Estado de Jalisco,Violación a los derechos laborales,Guadalajara
2017,6976,8/24/2017,Conciliación,Colegio de Bachilleres del Estado de Jalisco,Colegio de Bachilleres del Estado de Jalisco,Hostigamiento sexual,Guadalajara
2017,7291,9/2/2017,Conciliación,Consejo Estatal para el Fomento Deportivo y E.,Consejo Estatal para el Fomento Deportivo y E.,Hostigamiento sexual,Guadalajara
2017,7386,9/16/2017,Archivo definitivo,Ayuntamiento de El Salto,Ayuntamiento,Violación a los derechos del niño,El Salto
2017,7386,9/16/2017,Archivo definitivo,Dirección de Seguridad Pública de El Salto,Dirección de Seguridad Municipal,Hostigamiento sexual,El Salto
2017,7386,9/16/2017,Archivo definitivo,Ayuntamiento de El Salto,Ayuntamiento,Hostigamiento sexual,El Salto
2017,7386,9/16/2017,Archivo definitivo,Dirección de Seguridad Pública de El Salto,Dirección de Seguridad Municipal,Violación a los derechos del niño,El Salto
2017,7386,9/16/2017,Archivo definitivo,Ayuntamiento de El Salto,Ayuntamiento,Violación al derecho a la legalidad y seguridad jurídica,El Salto
2017,7386,9/16/2017,Archivo definitivo,Dirección de Seguridad Pública de El Salto,Dirección de Seguridad Municipal,Violación al derecho a la legalidad y seguridad jurídica,El Salto
2017,7915,10/18/2017,Archivo definitivo,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Abuso sexual,Guadalajara
2017,7915,10/18/2017,Archivo definitivo,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Guadalajara
2017,7973,10/23/2017,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Tonalá
2017,7973,10/23/2017,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación al derecho a la igualdad y al trato digno,Tonalá
2017,7973,10/23/2017,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Tonalá
2017,8136,11/1/2017,Desistimiento,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Gómez Farías
2017,8136,11/1/2017,Desistimiento,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Abuso sexual,Gómez Farías
2017,8195,11/8/2017,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Guadalajara
2017,8406,11/24/2017,Archivo definitivo,Servicios Médicos Municipales de Guadalajara,Servicios Médicos Municipales,Violación a los derechos laborales,Guadalajara
2017,8406,11/24/2017,Archivo definitivo,Servicios Médicos Municipales de Guadalajara,Servicios Médicos Municipales,Abuso sexual,Guadalajara
2018,408,1/24/2018,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Tlajomulco De Zúñiga
2018,408,1/24/2018,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación al derecho a la igualdad y al trato digno,Tlajomulco De Zúñiga
2018,408,1/24/2018,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Tlajomulco De Zúñiga
2018,519,2/6/2018,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Guadalajara
2018,519,2/6/2018,Conciliación,Fiscalía Central,Fiscalía Central,Violación a los derechos del niño,Guadalajara
2018,519,2/6/2018,Conciliación,Fiscalía Central,Fiscalía Central,Hostigamiento sexual,Guadalajara
2018,519,2/6/2018,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Guadalajara
2018,530,2/7/2018,Conciliación,Fiscalía Central,Fiscalía Central,Incumplimiento de la función pública en la procuración de justicia,Poncitlán
2018,530,2/7/2018,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Poncitlán
2018,530,2/7/2018,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Discriminación,Poncitlán
2018,530,2/7/2018,Conciliación,Fiscalía Central,Fiscalía Central,Discriminación,Poncitlán
2018,530,2/7/2018,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Poncitlán
2018,530,2/7/2018,Conciliación,Fiscalía Central,Fiscalía Central,Violación a los derechos del niño,Poncitlán
2018,530,2/7/2018,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Incumplimiento de la función pública en la procuración de justicia,Poncitlán
2018,530,2/7/2018,Conciliación,Fiscalía Central,Fiscalía Central,Hostigamiento sexual,Poncitlán
2018,551,2/9/2018,Se emitió recomendación,Secretaría de Cultura,Secretaría de Cultura,Hostigamiento sexual,Guadalajara
2018,551,2/9/2018,Se emitió recomendación,Secretaría de Cultura,Secretaría de Cultura,Violación a los derechos laborales,Guadalajara
2018,584,2/14/2018,Improcedencia,Dirección de Seguridad Pública de Guadalajara,Dirección de Seguridad Municipal,Violación al derecho a la igualdad y al trato digno,Guadalajara
2018,584,2/14/2018,Improcedencia,Dirección de Seguridad Pública de Guadalajara,Dirección de Seguridad Municipal,Violación,Guadalajara
2018,803,2/18/2018,Se emitió recomendación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Huejucar
2018,803,2/18/2018,Se emitió recomendación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Huejucar
2018,841,2/21/2018,Archivo definitivo,Ayuntamiento de Acatic,Ayuntamiento,Violación al derecho a la igualdad y al trato digno,Acatic
2018,841,2/21/2018,Archivo definitivo,Ayuntamiento de Acatic,Ayuntamiento,Hostigamiento sexual,Acatic
2018,1141,3/14/2018,Se emitió recomendación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Guadalajara
2018,1141,3/14/2018,Se emitió recomendación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Guadalajara
2018,1358,4/2/2018,Enviada a la CNDH,Comisión Nacional Forestal,Comisión Nacional Forestal,Violación a los derechos laborales,Guadalajara
2018,1358,4/2/2018,Enviada a la CNDH,Comisión Nacional Forestal,Comisión Nacional Forestal,Hostigamiento sexual,Guadalajara
2018,1899,4/10/2018,Se emitió recomendación,Secretaría de Vialidad y Transporte,Secretaría de Vialidad y Transporte,Hostigamiento sexual,Guadalajara
2018,1899,4/10/2018,Se emitió recomendación,Secretaría de Vialidad y Transporte,Secretaría de Vialidad y Transporte,Violación a los derechos laborales,Guadalajara
2018,1918,4/9/2018,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Zapopan
2018,1918,4/9/2018,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Zapopan
2018,2095,4/16/2018,Conciliación,Fiscalía Central,Fiscalía Central,Violación a los derechos laborales,Guadalajara
2018,2095,4/16/2018,Conciliación,Fiscalía Central,Fiscalía Central,Violación al derecho a la igualdad y al trato digno,Guadalajara
2018,2095,4/16/2018,Conciliación,Fiscalía Central,Fiscalía Central,Hostigamiento sexual,Guadalajara
2018,3008,5/11/2018,Se emitió recomendación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Tlajomulco De Zúñiga
2018,3008,5/11/2018,Se emitió recomendación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Abuso sexual,Tlajomulco De Zúñiga
2018,3008,5/11/2018,Se emitió recomendación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación al derecho a la igualdad y al trato digno,Tlajomulco De Zúñiga
2018,3568,6/21/2018,Por no tratarse de violación de D. H.,Secretaría de Salud,Secretaría de Salud,Hostigamiento sexual,Guadalajara
2018,3891,7/13/2018,Archivo definitivo,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación al derecho a la igualdad y al trato digno,Guadalajara
2018,3891,7/13/2018,Archivo definitivo,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Guadalajara
2018,3891,7/13/2018,Archivo definitivo,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Guadalajara
2018,3934,7/18/2018,Improcedencia,Secretaría de Salud,Secretaría de Salud,Hostigamiento sexual,Guadalajara
2018,4620,8/9/2018,Conciliación,Colegio de Bachilleres del Estado de Jalisco,Colegio de Bachilleres del Estado de Jalisco,Hostigamiento sexual,Zapopan
2018,4620,8/9/2018,Conciliación,Colegio de Bachilleres del Estado de Jalisco,Colegio de Bachilleres del Estado de Jalisco,Violación a los derechos del niño,Zapopan
2018,4620,8/9/2018,Conciliación,Colegio de Bachilleres del Estado de Jalisco,Colegio de Bachilleres del Estado de Jalisco,Violación al derecho a la igualdad y al trato digno,Zapopan
2018,5100,9/10/2018,Falta de interés,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,El Salto
2018,5373,10/5/2018,Se emitió recomendación,Dirección de Seguridad Pública de Tlaquepaque,Dirección de Seguridad Municipal,Hostigamiento sexual,Guadalajara
2018,5373,10/5/2018,Se emitió recomendación,Dirección de Seguridad Pública de Tlaquepaque,Dirección de Seguridad Municipal,Violación al derecho a la igualdad y al trato digno,Guadalajara
2018,5742,10/26/2018,Conciliación,Colegio de Bachilleres del Estado de Jalisco,Colegio de Bachilleres del Estado de Jalisco,Hostigamiento sexual,Zapopan
2018,5828,11/1/2018,Desistimiento,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Puerto Vallarta
2018,6948,11/12/2018,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Tonalá
2018,6948,11/12/2018,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Tonalá
2018,7136,11/20/2018,Se emitió recomendación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Abuso sexual,Zapopan
2018,7136,11/20/2018,Se emitió recomendación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Zapopan
2018,7370,12/3/2018,Archivo definitivo,"Procuraduría de la protección de niños, niñas y adolescentes","Procuraduría de la protección de niños, niñas y adolescentes",Violación a los derechos del niño,Guadalajara
2018,7370,12/3/2018,Archivo definitivo,"Procuraduría de la protección de niños, niñas y adolescentes","Procuraduría de la protección de niños, niñas y adolescentes",Violación al derecho a la integridad y seguridad personal,Guadalajara
2018,7370,12/3/2018,Archivo definitivo,"Procuraduría de la protección de niños, niñas y adolescentes","Procuraduría de la protección de niños, niñas y adolescentes",Abuso sexual,Guadalajara
2018,7372,12/4/2018,Archivo definitivo,Secretaría de Vialidad y Transporte,Secretaría de Vialidad y Transporte,Hostigamiento sexual,Guadalajara
2019,474,2/6/2019,Archivo definitivo,Fiscalía Regional,Fiscalía Regional,Dilación en el procedimiento administrativo,Cuautitlán
2019,474,2/6/2019,Archivo definitivo,Dirección de Seguridad Pública de Cuautitlán,Dirección de Seguridad Municipal,Violación al derecho a la igualdad y al trato digno,Cuautitlán
2019,474,2/6/2019,Archivo definitivo,Fiscalía Regional,Fiscalía Regional,Abuso sexual,Cuautitlán
2019,474,2/6/2019,Archivo definitivo,Fiscalía Regional,Fiscalía Regional,Violación al derecho a la igualdad y al trato digno,Cuautitlán
2019,474,2/6/2019,Archivo definitivo,Dirección de Seguridad Pública de Cuautitlán,Dirección de Seguridad Municipal,Abuso sexual,Cuautitlán
2019,474,2/6/2019,Archivo definitivo,Dirección de Seguridad Pública de Cuautitlán,Dirección de Seguridad Municipal,Violación a los derechos del niño,Cuautitlán
2019,474,2/6/2019,Archivo definitivo,Dirección de Seguridad Pública de Cuautitlán,Dirección de Seguridad Municipal,Dilación en el procedimiento administrativo,Cuautitlán
2019,474,2/6/2019,Archivo definitivo,Fiscalía Regional,Fiscalía Regional,Violación a los derechos del niño,Cuautitlán
2019,609,2/21/2019,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Guadalajara
2019,609,2/21/2019,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Guadalajara
2019,611,2/21/2019,Se emitió recomendación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Guadalajara
2019,611,2/21/2019,Se emitió recomendación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación al derecho a la integridad y seguridad personal,Guadalajara
2019,611,2/21/2019,Se emitió recomendación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Abuso sexual,Guadalajara
2019,2125,5/11/2019,Se emitió recomendación,Servicios Médicos Municipales de Guadalajara,Servicios Médicos Municipales,Hostigamiento sexual,Tonalá
2019,4926,5/22/2019,Archivo definitivo,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Abuso sexual,Guadalajara
2019,4926,5/22/2019,Archivo definitivo,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Abuso sexual,Zapopan
2019,4926,5/22/2019,Archivo definitivo,Fiscalía Central,Fiscalía Central,Abuso sexual,Zapopan
2019,4926,5/22/2019,Archivo definitivo,Fiscalía Central,Fiscalía Central,Violación al derecho a la igualdad y al trato digno,Zapopan
2019,4926,5/22/2019,Archivo definitivo,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación al derecho a la igualdad y al trato digno,Zapopan
2019,4926,5/22/2019,Archivo definitivo,Fiscalía Central,Fiscalía Central,Violación a los derechos del niño,Zapopan
2019,4926,5/22/2019,Archivo definitivo,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Zapopan
2019,4926,5/22/2019,Archivo definitivo,Fiscalía Central,Fiscalía Central,Abuso sexual,Guadalajara
2019,4926,5/22/2019,Archivo definitivo,Fiscalía Central,Fiscalía Central,Violación a los derechos del niño,Guadalajara
2019,4926,5/22/2019,Archivo definitivo,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Guadalajara
2019,4926,5/22/2019,Archivo definitivo,Fiscalía Central,Fiscalía Central,Violación al derecho a la igualdad y al trato digno,Guadalajara
2019,4926,5/22/2019,Archivo definitivo,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación al derecho a la igualdad y al trato digno,Guadalajara
2019,4954,5/24/2019,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Guadalajara
2019,4954,5/24/2019,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos laborales,Guadalajara
2019,5124,6/10/2019,Conciliación,Fiscalía Central,Fiscalía Central,Violación a los derechos laborales,Guadalajara
2019,5124,6/10/2019,Conciliación,Fiscalía Central,Fiscalía Central,Hostigamiento sexual,Guadalajara
2019,5377,6/19/2019,Se emitió recomendación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación al derecho a la igualdad y al trato digno,Santa María De Los Ángeles
2019,5377,6/19/2019,Se emitió recomendación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Abuso sexual,Santa María De Los Ángeles
2019,5377,6/19/2019,Se emitió recomendación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Santa María De Los Ángeles
2019,5416,7/1/2019,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación al derecho a la integridad y seguridad personal,Santa María De Los Ángeles
2019,5416,7/1/2019,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Abuso sexual,Santa María De Los Ángeles
2019,5416,7/1/2019,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación al derecho a la igualdad y al trato digno,Santa María De Los Ángeles
2019,5416,7/1/2019,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Santa María De Los Ángeles
2019,5775,7/25/2019,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Guadalajara
